Name,Age,PPG
Scottie Barnes,22,19.9
Pascal Siakam,29,22.2
RJ Barrett,23,20.6
Immanuel Quickley,24,17.9
OG Anunoby,26,15.1
Dennis Schröder,30,13.7
Gary Trent Jr.,25,12.3
Jakob Poeltl,28,11.1
Bruce Brown,27,8.6
Kelly Olynyk,32,10.3
Precious Achiuwa,24,7.7
Gradey Dick,20,6.5
Ochai Agbaji,23,5.8
Malachi Flynn,25,5.1
Thaddeus Young,35,5.0
Chris Boucher,31,6.4
Jontay Porter,24,4.0
Jordan Nwora,25,5.8
Otto Porter Jr.,30,2.6
Javon Freeman-Liberty,24,4.3
Jalen McDaniels,26,2.8
D.J. Carton,23,2.8
Jahmi'us Ramsey,22,2.0
Mouhamadou Gueye,25,1.0
Garrett Temple,37,1.4
Markquis Nowell,24,2.0
Ron Harper Jr.,23,0.0
Kira Lewis Jr.,22,0.0
